team_id	code	type	player	x	y	min	sec	period
174	44	0aerial_duel_lost	18498	71.2	25.5	0	7	1
174	5	0ball_out	18498	77	-1.7	0	12	1
178	5	0ball_out	171101	70	-1.2	0	45	1
178	12	0despeje_clearance	52356	29.5	85.1	1	6	1
178	5	0ball_out	52356	25.2	101.3	1	7	1
174	44	0aerial_duel_lost	18498	64.2	42.4	1	27	1
178	61	0mal_control	179271	28.1	83.9	2	9	1
178	74	0blocked_pass	179271	27	90.3	2	11	1
178	5	0ball_out	52356	27.9	102	2	13	1
174	5	0ball_out	140266	100.6	18.7	2	25	1
174	44	0aerial_duel_lost	242830	61	32	2	47	1
178	5	0ball_out	76650	25.4	101.8	3	19	1
178	8	0interception	200402	43.5	12.3	3	35	1
178	61	0mal_control	76650	67.6	96.8	4	31	1
178	5	0ball_out	76650	71.2	101.5	4	32	1
174	74	0blocked_pass	197334	80	8.3	4	53	1
178	74	0blocked_pass	171101	1.9	81.7	4	58	1
178	12	0despeje_clearance	209712	9.3	63.7	5	33	1
178	5	0ball_out	209712	21.2	101.8	5	35	1
178	12	0despeje_clearance	52356	1.8	94.1	5	58	1
178	5	0ball_out	52356	4.8	101	6	0	1
174	5	0ball_out	183462	62.6	101.8	6	16	1
178	51	0error_opponent_shot	219438	45.4	7.1	6	28	1
174	15	attempt_saved	197334	73.2	58.8	6	32	1
174	13	miss	18498	94.2	35.3	7	10	1
174	5	0ball_out	18498	101.1	49.8	7	11	1
174	5	0ball_out	197319	6.8	101.6	8	4	1
174	12	0despeje_clearance	140266	2.4	20.4	9	44	1
174	12	0despeje_clearance	183462	17.2	9.7	10	18	1
174	12	0despeje_clearance	18498	7.8	46.7	10	42	1
178	5	0ball_out	52356	101.6	80.2	10	45	1
178	44	0aerial_duel_lost	76650	40.2	70	11	25	1
178	12	0despeje_clearance	171101	18.3	46.3	12	13	1
174	56	0me_cortan_balon_cuerpo	59062	0	0	13	17	1
178	5	0ball_out	39336	101.2	89.2	13	18	1
178	61	0mal_control	179271	41.5	68.2	14	1	1
174	15	attempt_saved	197334	90.9	68.4	14	22	1
178	50	0dispossessed	86157	38.7	56.5	14	30	1
174	8	0interception	42670	21.1	96.8	14	43	1
174	8	0interception	42670	7.9	81.2	14	58	1
178	5	0ball_out	200402	101.2	31.1	15	0	1
174	8	0interception	42670	31.1	76.3	15	57	1
178	8	0interception	52356	26.5	56.1	16	1	1
174	12	0despeje_clearance	242830	12.8	39.2	16	31	1
174	56	0me_cortan_balon_cuerpo	140264	0	0	17	11	1
178	5	0ball_out	219438	100.6	25.6	17	12	1
174	44	0aerial_duel_lost	18498	60	68.2	17	50	1
178	44	0aerial_duel_lost	219438	41.2	20	17	53	1
174	74	0blocked_pass	183462	38	30.1	18	11	1
174	74	0blocked_pass	140266	25.6	33.2	18	13	1
178	5	0ball_out	39336	101	71.7	18	24	1
174	44	0aerial_duel_lost	59062	98.8	16.7	18	59	1
178	5	0ball_out	76650	66.6	101.6	19	50	1
178	8	0interception	209712	38.5	74.1	20	4	1
174	44	0aerial_duel_lost	140266	41.6	25.4	20	24	1
178	44	0aerial_duel_lost	86157	44	29.4	21	35	1
174	50	0dispossessed	59062	73	21.6	21	50	1
178	12	0despeje_clearance	18221	9.8	38	22	27	1
178	74	0blocked_pass	200402	26.7	26.7	22	42	1
174	5	0ball_out	140264	101	15.7	23	33	1
178	5	0ball_out	52356	76.6	101.9	24	34	1
178	44	0aerial_duel_lost	76650	45.9	73.8	25	58	1
178	12	0despeje_clearance	18221	10	36.9	26	41	1
178	74	0blocked_pass	200402	35.9	18.6	26	52	1
178	5	0ball_out	179271	37.8	-1.8	27	1	1
174	12	0despeje_clearance	140264	11.2	36.1	28	49	1
174	5	0ball_out	140264	6.3	-1.8	28	54	1
178	5	0ball_out	200402	100.8	15.4	29	23	1
178	44	0aerial_duel_lost	209712	40.4	23	30	1	1
174	61	0mal_control	197334	69.8	77.5	30	3	1
174	8	0interception	42670	59.8	86.2	30	16	1
174	15	attempt_saved	183462	70.5	60.8	30	20	1
174	44	0aerial_duel_lost	197334	44.4	43.2	31	27	1
174	51	0error_opponent_shot	183462	28.7	36.6	31	31	1
178	14	post	39336	88.2	60	31	33	1
174	12	0despeje_clearance	197319	7.5	50.6	31	34	1
174	5	0ball_out	76012	100.8	73.8	31	46	1
174	44	0aerial_duel_lost	18498	69	15.4	32	1	1
174	5	0ball_out	212769	20.8	101.6	33	40	1
174	44	0aerial_duel_lost	18498	92.3	55.7	34	21	1
174	15	attempt_saved	18498	89	40.8	35	56	1
174	61	0mal_control	18498	71.2	70.5	36	23	1
174	44	0aerial_duel_lost	18498	69.8	71.4	36	24	1
178	18	player_off	39336	0	0	36	30	1
178	19	player_in	92819	0	0	36	30	1
174	8	0interception	18498	39.8	72.4	37	19	1
